id,ip_address_v4,ip_address_v6,latitude,longitude,zone,contry_code,plant_name,solar_plate_mac,watts,measured_at
8e571b9e-f722-401c-977a-e240a58f711d,29.63.13.192,c8a7:b5dd:f641:3fe4:c7b1:93ce:fb04:f204,13.5920158,122.320801,Asia/Manila,PH,Taraxacum officinale F.H. Wigg. ssp. officinale,C7-6C-48-AD-64-A3,29898.955,2021-12-29 00:36:11
d69023f5-43be-444b-85af-79e3383c02a9,83.118.156.128,cb58:5bf7:44e9:f8a6:856a:7a34:caf9:8835,39.3552067,21.538589,Europe/Athens,GR,Petasites Mill.,C9-F8-7A-8C-F4-90,215.404,2021-08-25 06:32:05
8b851aff-64c3-4044-a4bb-cd29b36ec997,139.100.182.85,a3e3:846b:2a69:6b3c:2a03:c05c:c228:696a,23.106401,113.459749,Asia/Shanghai,CN,Caloplaca fraudans (Th. Fr.) H. Olivier,E6-64-B6-F6-81-D3,34634.775,2022-03-20 11:16:21
3bb2c3c8-e731-46fb-9994-6c9e949510e3,221.252.42.56,a8cb:c9ae:42ea:7052:9282:8bd7:18c1:af28,44.351935,-87.8445954,Europe/Copenhagen,DK,Plagiobothrys tener (Greene) I.M. Johnst. var. tener,F4-36-3C-2E-50-AD,89610.54,2021-10-11 08:34:16
0b8f6863-4bf8-4a84-9a8b-0e7abbda7df3,215.88.89.30,773:901a:7094:c9f3:b86a:2016:42ea:1010,5.9532298,101.6954435,Asia/Bangkok,TH,Arctostaphylos obispoensis Eastw.,9C-1C-71-8C-24-68,89383.74,2021-08-28 17:49:32
62bc915a-325e-4dc9-b117-d888b2262863,29.187.59.165,578:2890:f9e3:f29d:714c:25f2:c7ba:e965,41.0083753,-8.4622869,Europe/Lisbon,PT,Mycocalicium albonigrum (Nyl.) Fink,3F-65-51-4C-C3-A6,15966.119,2021-08-08 21:15:03
fe53337b-9069-4442-aeb5-e6f9084cfdf5,228.10.41.82,5073:967a:efb5:8e96:4e7:f324:ddc0:adee,51.725198,75.3150685,Asia/Almaty,KZ,Sagittaria cuneata Sheldon,6B-3B-9A-CD-34-58,39761.867,2021-11-29 06:30:50
f613b0fd-79c4-4a93-8e5a-8f101dfb3cdb,184.11.30.85,5b60:9541:34c7:4e58:ff96:5e9:2b74:c4d3,33.048227,120.575443,Asia/Shanghai,CN,Punctelia appalachensis (W.L. Culb.) Krog,FA-2B-B3-13-1C-20,64545.885,2021-09-17 01:47:34
1040f2db-b576-4e9c-8c1c-4a900a6c60ba,48.212.205.222,17ac:ce33:8920:17d8:c826:41d6:7134:a7c3,27.815743,114.416785,Asia/Harbin,CN,Weissia condensa (Voit) Lindb.,93-CC-53-3C-F0-C1,73037.491,2021-09-15 06:41:21
864740f4-bc25-40c3-9a6f-6b47b53da34c,163.64.136.105,38ea:d14c:cb7b:a7f2:acb5:77fc:5d1d:9d30,6.5346309,5.1601499,Africa/Lagos,NG,Ranunculus pensylvanicus L. f.,E9-1A-41-F2-38-19,41482.706,2022-01-14 06:26:04
